name,id,unit,description,isActive,surveyType,panelType,areaType,updateListingType,isPublic,createdAt,regionGroupId,survey_period_id,startDate,endDate
GROUNDCHECK PELANGGAN LISTRIK PT PLN (PERSERO) - PRABAYAR,2395b67d-d1af-4739-9ef8-c0cc0aa9ce9a,BADAN PUSAT STATISTIK,GROUNDCHECK PELANGGAN LISTRIK PT PLN (PERSERO) - PRABAYAR,True,Pencacahan,False,False,True,,2026-02-22T21:56:29.7887375,d18bcaa1-17f1-40cc-9c49-19537d40c4eb,16acea4e-4710-43d1-8b00-eeee589c8b66,2026-02-22,2026-04-30
GROUNDCHECK PELANGGAN LISTRIK PT PLN (PERSERO) - PASCABAYAR,2e31188c-a617-4163-8056-edccf93d8d79,BADAN PUSAT STATISTIK,GROUNDCHECK PELANGGAN LISTRIK PT PLN (PERSERO) - PASCABAYAR,True,Pencacahan,False,False,True,,2026-02-22T21:05:14.8714461,7cc6648a-f29c-461f-a880-725a5f57aa61,d63e9832-13c6-4ec7-bf5b-59229c2f90f9,2026-02-22,2026-04-30
PEMUTAKHIRAN DTSEN PBI 2026,c718ef77-c6a8-4a76-9c48-1a905d60a0cc,BADAN PUSAT STATISTIK,PEMUTAKHIRAN DTSEN PBI 2026,True,Pencacahan,False,False,False,,2026-02-20T11:10:32.9219121,33b08625-a592-44c9-9da6-91797017a8b5,d879f02a-6754-4e66-826c-3388a9910867,2026-02-20,2026-03-16
[VSNLIK26-P] – Survei Nasional Literasi Dan Inklusi Keuangan 2026,83f6053d-2120-4e7a-b322-d350bb975dd0,BADAN PUSAT STATISTIK,[VSNLIK26-P] – Survei Nasional Literasi Dan Inklusi Keuangan 2026,True,Pencacahan,False,False,True,,2025-12-02T04:17:12.8692495,fe31ec30-417d-4797-b97f-2d98a902dc03,a4f9069c-752a-44c7-ae6c-f58f1721aed4,2026-01-26,2026-02-20
[VSNLIK26-K] – Survei Nasional Literasi Dan Inklusi Keuangan 2026,4a8b0310-7424-419d-980a-72efe84408a1,BADAN PUSAT STATISTIK,[VSNLIK26-K] – Survei Nasional Literasi Dan Inklusi Keuangan 2026,True,Pencacahan,False,False,False,,2025-11-19T03:48:52.3601143,fe31ec30-417d-4797-b97f-2d98a902dc03,93d2145f-208b-46c4-9c96-b68137e928bd,2026-01-25,2026-02-20
