kd_kab,total,OPEN,prov_id,name,time_stamp,type,COMPLETED BY Admin Kabupaten,EDITED BY Admin Kabupaten,SUBMITTED BY Pencacah,APPROVED BY Pengawas,REJECTED BY Pengawas,assigned,have-not-assigned
9471,8,8.0,94,PEMUTAKHIRAN DIREKTORI PERUSAHAAN AWAL 2026,2026-03-16 15:18:34,progress,,,,,,,
9403,6,6.0,94,PEMUTAKHIRAN DIREKTORI PERUSAHAAN AWAL 2026,2026-03-16 15:18:34,progress,,,,,,,
9409,5,5.0,94,PEMUTAKHIRAN DIREKTORI PERUSAHAAN AWAL 2026,2026-03-16 15:18:34,progress,,,,,,,
9408,1,1.0,94,PEMUTAKHIRAN DIREKTORI PERUSAHAAN AWAL 2026,2026-03-16 15:18:34,progress,,,,,,,
9501,5,5.0,95,PEMUTAKHIRAN DIREKTORI PERUSAHAAN AWAL 2026,2026-03-16 15:18:34,progress,,,,,,,
9502,2,2.0,95,PEMUTAKHIRAN DIREKTORI PERUSAHAAN AWAL 2026,2026-03-16 15:18:34,progress,,,,,,,
9503,2,2.0,95,PEMUTAKHIRAN DIREKTORI PERUSAHAAN AWAL 2026,2026-03-16 15:18:34,progress,,,,,,,
9601,12,12.0,96,PEMUTAKHIRAN DIREKTORI PERUSAHAAN AWAL 2026,2026-03-16 15:18:34,progress,,,,,,,
9604,1,1.0,96,PEMUTAKHIRAN DIREKTORI PERUSAHAAN AWAL 2026,2026-03-16 15:18:34,progress,,,,,,,
9702,4,4.0,97,PEMUTAKHIRAN DIREKTORI PERUSAHAAN AWAL 2026,2026-03-16 15:18:34,progress,,,,,,,
9471,44,,94,PENDATAAN IBS TRIWULANAN 2025,2026-03-16 15:18:34,progress,44.0,,,,,,
9403,6,,94,PENDATAAN IBS TRIWULANAN 2025,2026-03-16 15:18:34,progress,6.0,,,,,,
9409,5,,94,PENDATAAN IBS TRIWULANAN 2025,2026-03-16 15:18:34,progress,5.0,,,,,,
9408,3,,94,PENDATAAN IBS TRIWULANAN 2025,2026-03-16 15:18:34,progress,3.0,,,,,,
9501,14,,95,PENDATAAN IBS TRIWULANAN 2025,2026-03-16 15:18:34,progress,14.0,,,,,,
9503,6,,95,PENDATAAN IBS TRIWULANAN 2025,2026-03-16 15:18:34,progress,6.0,,,,,,
9502,4,2.0,95,PENDATAAN IBS TRIWULANAN 2025,2026-03-16 15:18:34,progress,,2.0,,,,,
9601,40,,96,PENDATAAN IBS TRIWULANAN 2025,2026-03-16 15:18:34,progress,40.0,,,,,,
9604,2,,96,PENDATAAN IBS TRIWULANAN 2025,2026-03-16 15:18:34,progress,2.0,,,,,,
9608,1,,96,PENDATAAN IBS TRIWULANAN 2025,2026-03-16 15:18:34,progress,1.0,,,,,,
9702,5,,97,PENDATAAN IBS TRIWULANAN 2025,2026-03-16 15:18:34,progress,4.0,,1.0,,,,
9403,58,27.0,94,IMK Triwulanan 2026 - LISTING,2026-03-16 15:18:34,progress,,,31.0,,,,
9471,42,42.0,94,IMK Triwulanan 2026 - LISTING,2026-03-16 15:18:34,progress,,,,,,,
9420,28,13.0,94,IMK Triwulanan 2026 - LISTING,2026-03-16 15:18:34,progress,,,15.0,,,,
9409,22,16.0,94,IMK Triwulanan 2026 - LISTING,2026-03-16 15:18:34,progress,,,2.0,4.0,,,
9427,21,21.0,94,IMK Triwulanan 2026 - LISTING,2026-03-16 15:18:34,progress,,,,,,,
9408,16,16.0,94,IMK Triwulanan 2026 - LISTING,2026-03-16 15:18:34,progress,,,,,,,
9426,9,9.0,94,IMK Triwulanan 2026 - LISTING,2026-03-16 15:18:34,progress,,,,,,,
9419,8,8.0,94,IMK Triwulanan 2026 - LISTING,2026-03-16 15:18:34,progress,,,,,,,
9428,4,4.0,94,IMK Triwulanan 2026 - LISTING,2026-03-16 15:18:34,progress,,,,,,,
9503,332,20.0,95,IMK Triwulanan 2026 - LISTING,2026-03-16 15:18:34,progress,,,310.0,,2.0,,
9501,35,35.0,95,IMK Triwulanan 2026 - LISTING,2026-03-16 15:18:34,progress,,,,,,,
9502,28,28.0,95,IMK Triwulanan 2026 - LISTING,2026-03-16 15:18:34,progress,,,,,,,
9504,18,18.0,95,IMK Triwulanan 2026 - LISTING,2026-03-16 15:18:34,progress,,,,,,,
9604,557,51.0,96,IMK Triwulanan 2026 - LISTING,2026-03-16 15:18:34,progress,,,506.0,,,,
9601,44,44.0,96,IMK Triwulanan 2026 - LISTING,2026-03-16 15:18:34,progress,,,,,,,
9603,29,28.0,96,IMK Triwulanan 2026 - LISTING,2026-03-16 15:18:34,progress,,,1.0,,,,
9605,15,15.0,96,IMK Triwulanan 2026 - LISTING,2026-03-16 15:18:34,progress,,,,,,,
9608,14,14.0,96,IMK Triwulanan 2026 - LISTING,2026-03-16 15:18:34,progress,,,,,,,
9602,4,4.0,96,IMK Triwulanan 2026 - LISTING,2026-03-16 15:18:34,progress,,,,,,,
9606,4,4.0,96,IMK Triwulanan 2026 - LISTING,2026-03-16 15:18:34,progress,,,,,,,
9707,370,2.0,97,IMK Triwulanan 2026 - LISTING,2026-03-16 15:18:34,progress,,,325.0,43.0,,,
9702,49,39.0,97,IMK Triwulanan 2026 - LISTING,2026-03-16 15:18:34,progress,,,10.0,,,,
9704,8,8.0,97,IMK Triwulanan 2026 - LISTING,2026-03-16 15:18:34,progress,,,,,,,
9703,6,6.0,97,IMK Triwulanan 2026 - LISTING,2026-03-16 15:18:34,progress,,,,,,,
9708,4,4.0,97,IMK Triwulanan 2026 - LISTING,2026-03-16 15:18:34,progress,,,,,,,
9706,2,2.0,97,IMK Triwulanan 2026 - LISTING,2026-03-16 15:18:34,progress,,,,,,,
9701,1,1.0,97,IMK Triwulanan 2026 - LISTING,2026-03-16 15:18:34,progress,,,,,,,
9471,8,,94,PEMUTAKHIRAN DIREKTORI PERUSAHAAN AWAL 2026,2026-03-16 15:18:35,user_assignment,,,,,,0.0,8.0
9403,6,,94,PEMUTAKHIRAN DIREKTORI PERUSAHAAN AWAL 2026,2026-03-16 15:18:35,user_assignment,,,,,,0.0,6.0
9409,5,,94,PEMUTAKHIRAN DIREKTORI PERUSAHAAN AWAL 2026,2026-03-16 15:18:35,user_assignment,,,,,,0.0,5.0
9408,1,,94,PEMUTAKHIRAN DIREKTORI PERUSAHAAN AWAL 2026,2026-03-16 15:18:35,user_assignment,,,,,,0.0,1.0
9501,5,,95,PEMUTAKHIRAN DIREKTORI PERUSAHAAN AWAL 2026,2026-03-16 15:18:35,user_assignment,,,,,,5.0,0.0
9502,2,,95,PEMUTAKHIRAN DIREKTORI PERUSAHAAN AWAL 2026,2026-03-16 15:18:35,user_assignment,,,,,,0.0,2.0
9503,2,,95,PEMUTAKHIRAN DIREKTORI PERUSAHAAN AWAL 2026,2026-03-16 15:18:35,user_assignment,,,,,,0.0,2.0
9601,12,,96,PEMUTAKHIRAN DIREKTORI PERUSAHAAN AWAL 2026,2026-03-16 15:18:35,user_assignment,,,,,,0.0,12.0
9604,1,,96,PEMUTAKHIRAN DIREKTORI PERUSAHAAN AWAL 2026,2026-03-16 15:18:35,user_assignment,,,,,,1.0,0.0
9702,4,,97,PEMUTAKHIRAN DIREKTORI PERUSAHAAN AWAL 2026,2026-03-16 15:18:35,user_assignment,,,,,,0.0,4.0
9471,44,,94,PENDATAAN IBS TRIWULANAN 2025,2026-03-16 15:18:35,user_assignment,,,,,,44.0,0.0
9403,6,,94,PENDATAAN IBS TRIWULANAN 2025,2026-03-16 15:18:35,user_assignment,,,,,,6.0,0.0
9409,5,,94,PENDATAAN IBS TRIWULANAN 2025,2026-03-16 15:18:35,user_assignment,,,,,,5.0,0.0
9408,3,,94,PENDATAAN IBS TRIWULANAN 2025,2026-03-16 15:18:35,user_assignment,,,,,,3.0,0.0
9501,14,,95,PENDATAAN IBS TRIWULANAN 2025,2026-03-16 15:18:35,user_assignment,,,,,,14.0,0.0
9503,6,,95,PENDATAAN IBS TRIWULANAN 2025,2026-03-16 15:18:35,user_assignment,,,,,,6.0,0.0
9502,4,,95,PENDATAAN IBS TRIWULANAN 2025,2026-03-16 15:18:35,user_assignment,,,,,,4.0,0.0
9601,40,,96,PENDATAAN IBS TRIWULANAN 2025,2026-03-16 15:18:35,user_assignment,,,,,,40.0,0.0
9604,2,,96,PENDATAAN IBS TRIWULANAN 2025,2026-03-16 15:18:35,user_assignment,,,,,,2.0,0.0
9608,1,,96,PENDATAAN IBS TRIWULANAN 2025,2026-03-16 15:18:35,user_assignment,,,,,,1.0,0.0
9702,5,,97,PENDATAAN IBS TRIWULANAN 2025,2026-03-16 15:18:35,user_assignment,,,,,,5.0,0.0
9403,58,,94,IMK Triwulanan 2026 - LISTING,2026-03-16 15:18:35,user_assignment,,,,,,58.0,0.0
9471,42,,94,IMK Triwulanan 2026 - LISTING,2026-03-16 15:18:35,user_assignment,,,,,,0.0,42.0
9420,28,,94,IMK Triwulanan 2026 - LISTING,2026-03-16 15:18:35,user_assignment,,,,,,28.0,0.0
9409,22,,94,IMK Triwulanan 2026 - LISTING,2026-03-16 15:18:35,user_assignment,,,,,,22.0,0.0
9427,21,,94,IMK Triwulanan 2026 - LISTING,2026-03-16 15:18:35,user_assignment,,,,,,21.0,0.0
9408,16,,94,IMK Triwulanan 2026 - LISTING,2026-03-16 15:18:35,user_assignment,,,,,,0.0,16.0
9426,9,,94,IMK Triwulanan 2026 - LISTING,2026-03-16 15:18:35,user_assignment,,,,,,0.0,9.0
9419,8,,94,IMK Triwulanan 2026 - LISTING,2026-03-16 15:18:35,user_assignment,,,,,,8.0,0.0
9428,4,,94,IMK Triwulanan 2026 - LISTING,2026-03-16 15:18:35,user_assignment,,,,,,0.0,4.0
9503,332,,95,IMK Triwulanan 2026 - LISTING,2026-03-16 15:18:35,user_assignment,,,,,,332.0,0.0
9501,35,,95,IMK Triwulanan 2026 - LISTING,2026-03-16 15:18:35,user_assignment,,,,,,25.0,10.0
9502,28,,95,IMK Triwulanan 2026 - LISTING,2026-03-16 15:18:35,user_assignment,,,,,,0.0,28.0
9504,18,,95,IMK Triwulanan 2026 - LISTING,2026-03-16 15:18:35,user_assignment,,,,,,0.0,18.0
9604,557,,96,IMK Triwulanan 2026 - LISTING,2026-03-16 15:18:35,user_assignment,,,,,,557.0,0.0
9601,44,,96,IMK Triwulanan 2026 - LISTING,2026-03-16 15:18:35,user_assignment,,,,,,0.0,44.0
9603,29,,96,IMK Triwulanan 2026 - LISTING,2026-03-16 15:18:35,user_assignment,,,,,,24.0,5.0
9605,15,,96,IMK Triwulanan 2026 - LISTING,2026-03-16 15:18:35,user_assignment,,,,,,9.0,6.0
9608,14,,96,IMK Triwulanan 2026 - LISTING,2026-03-16 15:18:35,user_assignment,,,,,,14.0,0.0
9602,4,,96,IMK Triwulanan 2026 - LISTING,2026-03-16 15:18:35,user_assignment,,,,,,4.0,0.0
9606,4,,96,IMK Triwulanan 2026 - LISTING,2026-03-16 15:18:35,user_assignment,,,,,,3.0,1.0
9707,370,,97,IMK Triwulanan 2026 - LISTING,2026-03-16 15:18:35,user_assignment,,,,,,370.0,0.0
9702,49,,97,IMK Triwulanan 2026 - LISTING,2026-03-16 15:18:35,user_assignment,,,,,,49.0,0.0
