kd_kab,SudahTarikSampel,BelumSelesaiListing,total,SelesaiListing,name,type,time_stamp
9403,0,28,28,0,IMK Triwulanan 2026 - LISTING,pemutakhiran,2026-03-18 20:44:07
9408,0,16,16,0,IMK Triwulanan 2026 - LISTING,pemutakhiran,2026-03-18 20:44:07
9409,0,18,18,0,IMK Triwulanan 2026 - LISTING,pemutakhiran,2026-03-18 20:44:07
9419,0,8,8,0,IMK Triwulanan 2026 - LISTING,pemutakhiran,2026-03-18 20:44:07
9420,0,14,14,0,IMK Triwulanan 2026 - LISTING,pemutakhiran,2026-03-18 20:44:07
9426,0,9,9,0,IMK Triwulanan 2026 - LISTING,pemutakhiran,2026-03-18 20:44:07
9427,0,21,21,0,IMK Triwulanan 2026 - LISTING,pemutakhiran,2026-03-18 20:44:07
9428,0,4,4,0,IMK Triwulanan 2026 - LISTING,pemutakhiran,2026-03-18 20:44:07
9471,0,42,42,0,IMK Triwulanan 2026 - LISTING,pemutakhiran,2026-03-18 20:44:07
9501,0,35,35,0,IMK Triwulanan 2026 - LISTING,pemutakhiran,2026-03-18 20:44:07
9502,0,28,28,0,IMK Triwulanan 2026 - LISTING,pemutakhiran,2026-03-18 20:44:07
9503,0,24,24,0,IMK Triwulanan 2026 - LISTING,pemutakhiran,2026-03-18 20:44:07
9504,0,18,18,0,IMK Triwulanan 2026 - LISTING,pemutakhiran,2026-03-18 20:44:07
9601,0,44,44,0,IMK Triwulanan 2026 - LISTING,pemutakhiran,2026-03-18 20:44:07
9602,0,4,4,0,IMK Triwulanan 2026 - LISTING,pemutakhiran,2026-03-18 20:44:07
9603,0,29,29,0,IMK Triwulanan 2026 - LISTING,pemutakhiran,2026-03-18 20:44:07
9604,0,56,56,0,IMK Triwulanan 2026 - LISTING,pemutakhiran,2026-03-18 20:44:07
9605,0,15,15,0,IMK Triwulanan 2026 - LISTING,pemutakhiran,2026-03-18 20:44:07
9606,0,4,4,0,IMK Triwulanan 2026 - LISTING,pemutakhiran,2026-03-18 20:44:07
9608,0,14,14,0,IMK Triwulanan 2026 - LISTING,pemutakhiran,2026-03-18 20:44:07
9701,0,1,1,0,IMK Triwulanan 2026 - LISTING,pemutakhiran,2026-03-18 20:44:07
9702,0,36,41,5,IMK Triwulanan 2026 - LISTING,pemutakhiran,2026-03-18 20:44:07
9703,0,6,6,0,IMK Triwulanan 2026 - LISTING,pemutakhiran,2026-03-18 20:44:07
9704,0,8,8,0,IMK Triwulanan 2026 - LISTING,pemutakhiran,2026-03-18 20:44:07
9706,0,2,2,0,IMK Triwulanan 2026 - LISTING,pemutakhiran,2026-03-18 20:44:07
9707,0,1,4,3,IMK Triwulanan 2026 - LISTING,pemutakhiran,2026-03-18 20:44:07
9708,0,4,4,0,IMK Triwulanan 2026 - LISTING,pemutakhiran,2026-03-18 20:44:07
