kd_kab,total,COMPLETED BY Admin Kabupaten,prov_id,name,time_stamp,type,EDITED BY Admin Kabupaten,OPEN,SUBMITTED BY Pencacah,REVOKED BY Admin Kabupaten,APPROVED BY Pengawas,REJECTED BY Pengawas,EDITED BY Admin Pusat,assigned,have-not-assigned
9503,312.0,,95,IMK Tahunan 2025 - Listing,2026-03-10 08:26:47,user_assignment,,,,,,,,312.0,0.0
9604,5920.0,,96,IMK Tahunan 2025 - Listing,2026-03-10 08:26:47,user_assignment,,,,,,,,5920.0,0.0
9601,3998.0,,96,IMK Tahunan 2025 - Listing,2026-03-10 08:26:47,user_assignment,,,,,,,,3998.0,0.0
9608,805.0,,96,IMK Tahunan 2025 - Listing,2026-03-10 08:26:47,user_assignment,,,,,,,,805.0,0.0
9603,352.0,,96,IMK Tahunan 2025 - Listing,2026-03-10 08:26:47,user_assignment,,,,,,,,352.0,0.0
9471,7004.0,,94,IMK Tahunan 2025 - Listing,2026-03-10 08:26:47,user_assignment,,,,,,,,7004.0,0.0
9420,2203.0,,94,IMK Tahunan 2025 - Listing,2026-03-10 08:26:47,user_assignment,,,,,,,,2203.0,0.0
9403,2171.0,,94,IMK Tahunan 2025 - Listing,2026-03-10 08:26:47,user_assignment,,,,,,,,2171.0,0.0
9409,1697.0,,94,IMK Tahunan 2025 - Listing,2026-03-10 08:26:47,user_assignment,,,,,,,,1697.0,0.0
9427,698.0,,94,IMK Tahunan 2025 - Listing,2026-03-10 08:26:47,user_assignment,,,,,,,,698.0,0.0
9419,575.0,,94,IMK Tahunan 2025 - Listing,2026-03-10 08:26:47,user_assignment,,,,,,,,575.0,0.0
9426,454.0,,94,IMK Tahunan 2025 - Listing,2026-03-10 08:26:47,user_assignment,,,,,,,,454.0,0.0
9408,374.0,,94,IMK Tahunan 2025 - Listing,2026-03-10 08:26:47,user_assignment,,,,,,,,374.0,0.0
9428,126.0,,94,IMK Tahunan 2025 - Listing,2026-03-10 08:26:47,user_assignment,,,,,,,,126.0,0.0
9408,1.0,,94,SURVEI TAHUNAN PERUSAHAAN AIR BERSIH TAHUN 2025 ,2026-03-10 08:26:47,user_assignment,,,,,,,,1.0,0.0
9419,16.0,,94,SURVEI CAPTIVE POWER 2025,2026-03-10 08:26:47,user_assignment,,,,,,,,16.0,0.0
9408,7.0,,94,SURVEI CAPTIVE POWER 2025,2026-03-10 08:26:47,user_assignment,,,,,,,,7.0,0.0
9604,21.0,,96,SURVEI CAPTIVE POWER 2025,2026-03-10 08:26:47,user_assignment,,,,,,,,21.0,0.0
9602,1.0,,96,SURVEI CAPTIVE POWER 2025,2026-03-10 08:26:47,user_assignment,,,,,,,,0.0,1.0
9408,74.0,,94,SURVEI TAHUNAN USAHA PENGGALIAN BAHAN INDUSTRI DAN KONSTRUKSI TAHUN 2025 - URT,2026-03-10 08:26:47,user_assignment,,,,,,,,74.0,0.0
9420,17.0,,94,SURVEI TAHUNAN USAHA PENGGALIAN BAHAN INDUSTRI DAN KONSTRUKSI TAHUN 2025 - URT,2026-03-10 08:26:47,user_assignment,,,,,,,,17.0,0.0
9419,10.0,,94,SURVEI TAHUNAN USAHA PENGGALIAN BAHAN INDUSTRI DAN KONSTRUKSI TAHUN 2025 - URT,2026-03-10 08:26:47,user_assignment,,,,,,,,10.0,0.0
9409,6.0,,94,SURVEI TAHUNAN USAHA PENGGALIAN BAHAN INDUSTRI DAN KONSTRUKSI TAHUN 2025 - URT,2026-03-10 08:26:47,user_assignment,,,,,,,,0.0,6.0
9604,8.0,,96,SURVEI TAHUNAN USAHA PENGGALIAN BAHAN INDUSTRI DAN KONSTRUKSI TAHUN 2025 - URT,2026-03-10 08:26:48,user_assignment,,,,,,,,8.0,0.0
9704,29.0,,97,Pencacahan SKTH 2024,2026-03-10 08:26:48,user_assignment,,,,,,,,29.0,0.0
9708,25.0,,97,Pencacahan SKTH 2024,2026-03-10 08:26:48,user_assignment,,,,,,,,25.0,0.0
9707,17.0,,97,Pencacahan SKTH 2024,2026-03-10 08:26:48,user_assignment,,,,,,,,8.0,9.0
9703,3.0,,97,Pencacahan SKTH 2024,2026-03-10 08:26:48,user_assignment,,,,,,,,3.0,0.0
9419,4.0,,94,Pencacahan SKTH 2024,2026-03-10 08:26:48,user_assignment,,,,,,,,4.0,0.0
9426,3.0,,94,Pencacahan SKTH 2024,2026-03-10 08:26:48,user_assignment,,,,,,,,3.0,0.0
9403,1.0,,94,Pencacahan SKTH 2024,2026-03-10 08:26:48,user_assignment,,,,,,,,1.0,0.0
9420,1.0,,94,Pencacahan SKTH 2024,2026-03-10 08:26:48,user_assignment,,,,,,,,1.0,0.0
9601,166.0,,96,Pencacahan SKTH 2024,2026-03-10 08:26:48,user_assignment,,,,,,,,23.0,143.0
9604,8.0,,96,Pencacahan SKTH 2024,2026-03-10 08:26:48,user_assignment,,,,,,,,8.0,0.0
9704,8.0,,97,PENCACAHAN SKTR 2025,2026-03-10 08:26:48,user_assignment,,,,,,,,8.0,0.0
9708,7.0,,97,PENCACAHAN SKTR 2025,2026-03-10 08:26:48,user_assignment,,,,,,,,7.0,0.0
9707,1.0,,97,PENCACAHAN SKTR 2025,2026-03-10 08:26:48,user_assignment,,,,,,,,0.0,1.0
9403,7.0,,94,PENCACAHAN SKTR 2025,2026-03-10 08:26:48,user_assignment,,,,,,,,6.0,1.0
9420,4.0,,94,PENCACAHAN SKTR 2025,2026-03-10 08:26:48,user_assignment,,,,,,,,4.0,0.0
9409,3.0,,94,PENCACAHAN SKTR 2025,2026-03-10 08:26:48,user_assignment,,,,,,,,2.0,1.0
9419,1.0,,94,PENCACAHAN SKTR 2025,2026-03-10 08:26:48,user_assignment,,,,,,,,1.0,0.0
9501,6.0,,95,PENCACAHAN SKTR 2025,2026-03-10 08:26:48,user_assignment,,,,,,,,0.0,6.0
9502,6.0,,95,PENCACAHAN SKTR 2025,2026-03-10 08:26:48,user_assignment,,,,,,,,6.0,0.0
9503,1.0,,95,PENCACAHAN SKTR 2025,2026-03-10 08:26:48,user_assignment,,,,,,,,1.0,0.0
9601,32.0,,96,PENCACAHAN SKTR 2025,2026-03-10 08:26:48,user_assignment,,,,,,,,32.0,0.0
9604,4.0,,96,PENCACAHAN SKTR 2025,2026-03-10 08:26:48,user_assignment,,,,,,,,4.0,0.0
9607,3.0,,96,PENCACAHAN SKTR 2025,2026-03-10 08:26:48,user_assignment,,,,,,,,3.0,0.0
9702,4.0,,97,PEMUTAKHIRAN DIREKTORI PERUSAHAAN AWAL - 2025,2026-03-10 08:26:48,user_assignment,,,,,,,,4.0,0.0
9501,18.0,,95,PEMUTAKHIRAN DIREKTORI PERUSAHAAN AWAL - 2025,2026-03-10 08:26:48,user_assignment,,,,,,,,18.0,0.0
9502,3.0,,95,PEMUTAKHIRAN DIREKTORI PERUSAHAAN AWAL - 2025,2026-03-10 08:26:48,user_assignment,,,,,,,,3.0,0.0
