kd_kab,total,COMPLETED BY Admin Kabupaten,prov_id,name,time_stamp,type,EDITED BY Admin Kabupaten,OPEN,SUBMITTED BY Pencacah,REVOKED BY Admin Kabupaten,APPROVED BY Pengawas,REJECTED BY Pengawas,EDITED BY Admin Pusat,assigned,have-not-assigned
9408,50.0,50.0,94,IMK Tahunan 2025 - Pencacahan,2026-03-10 08:26:40,progress,,,,,,,,,
9419,42.0,39.0,94,IMK Tahunan 2025 - Pencacahan,2026-03-10 08:26:40,progress,,,,,3.0,,,,
9426,30.0,30.0,94,IMK Tahunan 2025 - Pencacahan,2026-03-10 08:26:40,progress,,,,,,,,,
9427,29.0,29.0,94,IMK Tahunan 2025 - Pencacahan,2026-03-10 08:26:40,progress,,,,,,,,,
9428,6.0,6.0,94,IMK Tahunan 2025 - Pencacahan,2026-03-10 08:26:40,progress,,,,,,,,,
9601,362.0,,96,IMK Tahunan 2025 - Pencacahan,2026-03-10 08:26:40,progress,91.0,104.0,,,167.0,,,,
9604,276.0,258.0,96,IMK Tahunan 2025 - Pencacahan,2026-03-10 08:26:40,progress,1.0,17.0,,,,,,,
9608,74.0,58.0,96,IMK Tahunan 2025 - Pencacahan,2026-03-10 08:26:40,progress,,16.0,,,,,,,
9603,41.0,41.0,96,IMK Tahunan 2025 - Pencacahan,2026-03-10 08:26:40,progress,,,,,,,,,
9704,27.0,25.0,97,IMK Tahunan 2025 - Pencacahan,2026-03-10 08:26:40,progress,2.0,,,,,,,,
9702,19.0,19.0,97,IMK Tahunan 2025 - Pencacahan,2026-03-10 08:26:40,progress,,,,,,,,,
9702,13.0,13.0,97,PENCACAHAN SKTR 2025 TRIWULAN 2,2026-03-10 08:26:40,progress,,,,,,,,,
9704,8.0,,97,PENCACAHAN SKTR 2025 TRIWULAN 2,2026-03-10 08:26:40,progress,,8.0,,,,,,,
9701,1.0,1.0,97,PENCACAHAN SKTR 2025 TRIWULAN 2,2026-03-10 08:26:40,progress,,,,,,,,,
