kd_kab,total,COMPLETED BY Admin Kabupaten,prov_id,name,time_stamp,type,EDITED BY Admin Kabupaten,OPEN,SUBMITTED BY Pencacah,REVOKED BY Admin Kabupaten,APPROVED BY Pengawas,REJECTED BY Pengawas,assigned,have-not-assigned
9502,4.0,,95,PENDATAAN IBS TRIWULANAN 2025,2026-03-18 12:49:19,user_assignment,,,,,,,4.0,0.0
9601,40.0,,96,PENDATAAN IBS TRIWULANAN 2025,2026-03-18 12:49:19,user_assignment,,,,,,,40.0,0.0
9604,2.0,,96,PENDATAAN IBS TRIWULANAN 2025,2026-03-18 12:49:19,user_assignment,,,,,,,2.0,0.0
9608,1.0,,96,PENDATAAN IBS TRIWULANAN 2025,2026-03-18 12:49:19,user_assignment,,,,,,,1.0,0.0
9702,5.0,,97,PENDATAAN IBS TRIWULANAN 2025,2026-03-18 12:49:19,user_assignment,,,,,,,5.0,0.0
9501,585.0,,95,IMK Tahunan 2025 - Pencacahan,2026-03-18 12:49:19,user_assignment,,,,,,,458.0,127.0
9502,72.0,,95,IMK Tahunan 2025 - Pencacahan,2026-03-18 12:49:19,user_assignment,,,,,,,72.0,0.0
9504,60.0,,95,IMK Tahunan 2025 - Pencacahan,2026-03-18 12:49:19,user_assignment,,,,,,,60.0,0.0
9503,43.0,,95,IMK Tahunan 2025 - Pencacahan,2026-03-18 12:49:19,user_assignment,,,,,,,43.0,0.0
9471,410.0,,94,IMK Tahunan 2025 - Pencacahan,2026-03-18 12:49:19,user_assignment,,,,,,,295.0,115.0
9409,353.0,,94,IMK Tahunan 2025 - Pencacahan,2026-03-18 12:49:19,user_assignment,,,,,,,353.0,0.0
9403,134.0,,94,IMK Tahunan 2025 - Pencacahan,2026-03-18 12:49:19,user_assignment,,,,,,,127.0,7.0
9420,107.0,,94,IMK Tahunan 2025 - Pencacahan,2026-03-18 12:49:19,user_assignment,,,,,,,107.0,0.0
9408,50.0,,94,IMK Tahunan 2025 - Pencacahan,2026-03-18 12:49:19,user_assignment,,,,,,,50.0,0.0
9419,42.0,,94,IMK Tahunan 2025 - Pencacahan,2026-03-18 12:49:19,user_assignment,,,,,,,42.0,0.0
9426,30.0,,94,IMK Tahunan 2025 - Pencacahan,2026-03-18 12:49:19,user_assignment,,,,,,,30.0,0.0
9427,29.0,,94,IMK Tahunan 2025 - Pencacahan,2026-03-18 12:49:19,user_assignment,,,,,,,29.0,0.0
9428,6.0,,94,IMK Tahunan 2025 - Pencacahan,2026-03-18 12:49:19,user_assignment,,,,,,,6.0,0.0
9601,362.0,,96,IMK Tahunan 2025 - Pencacahan,2026-03-18 12:49:19,user_assignment,,,,,,,258.0,104.0
9604,276.0,,96,IMK Tahunan 2025 - Pencacahan,2026-03-18 12:49:19,user_assignment,,,,,,,276.0,0.0
9608,74.0,,96,IMK Tahunan 2025 - Pencacahan,2026-03-18 12:49:19,user_assignment,,,,,,,58.0,16.0
9603,41.0,,96,IMK Tahunan 2025 - Pencacahan,2026-03-18 12:49:19,user_assignment,,,,,,,41.0,0.0
9704,27.0,,97,IMK Tahunan 2025 - Pencacahan,2026-03-18 12:49:19,user_assignment,,,,,,,27.0,0.0
9702,19.0,,97,IMK Tahunan 2025 - Pencacahan,2026-03-18 12:49:19,user_assignment,,,,,,,19.0,0.0
9471,8.0,,94,PEMUTAKHIRAN DIREKTORI PERUSAHAAN AWAL 2026,2026-03-18 12:49:19,user_assignment,,,,,,,0.0,8.0
9403,6.0,,94,PEMUTAKHIRAN DIREKTORI PERUSAHAAN AWAL 2026,2026-03-18 12:49:19,user_assignment,,,,,,,0.0,6.0
9409,5.0,,94,PEMUTAKHIRAN DIREKTORI PERUSAHAAN AWAL 2026,2026-03-18 12:49:19,user_assignment,,,,,,,0.0,5.0
9408,1.0,,94,PEMUTAKHIRAN DIREKTORI PERUSAHAAN AWAL 2026,2026-03-18 12:49:19,user_assignment,,,,,,,0.0,1.0
9501,5.0,,95,PEMUTAKHIRAN DIREKTORI PERUSAHAAN AWAL 2026,2026-03-18 12:49:19,user_assignment,,,,,,,5.0,0.0
9502,2.0,,95,PEMUTAKHIRAN DIREKTORI PERUSAHAAN AWAL 2026,2026-03-18 12:49:19,user_assignment,,,,,,,0.0,2.0
9503,2.0,,95,PEMUTAKHIRAN DIREKTORI PERUSAHAAN AWAL 2026,2026-03-18 12:49:19,user_assignment,,,,,,,0.0,2.0
9601,12.0,,96,PEMUTAKHIRAN DIREKTORI PERUSAHAAN AWAL 2026,2026-03-18 12:49:19,user_assignment,,,,,,,0.0,12.0
9604,1.0,,96,PEMUTAKHIRAN DIREKTORI PERUSAHAAN AWAL 2026,2026-03-18 12:49:19,user_assignment,,,,,,,1.0,0.0
9702,4.0,,97,PEMUTAKHIRAN DIREKTORI PERUSAHAAN AWAL 2026,2026-03-18 12:49:19,user_assignment,,,,,,,0.0,4.0
