kd_kab,total,OPEN,prov_id,name,time_stamp,type,APPROVED BY ADMIN KABUPATEN,COMPLETED BY Admin Kabupaten,EDITED BY Admin Kabupaten,REVOKED BY Admin Kabupaten,APPROVED BY Pengawas,REJECTED BY Pengawas,SUBMITTED BY Pencacah,APPROVED BY ADMIN PROVINSI,APPROVED BY PENGAWAS,COMPLETED BY ADMIN PROVINSI,DRAFT,SUBMITTED RESPONDENT,APPROVED BY Admin Kabupaten,EDITED BY Admin Pusat,assigned,have-not-assigned
9706,2.0,,97,PENCACAHAN SKTR 2025 TRIWULAN 2,2026-02-23 08:46:25,progress,,2.0,,,,,,,,,,,,,,
9707,1.0,,97,PENCACAHAN SKTR 2025 TRIWULAN 2,2026-02-23 08:46:25,progress,,1.0,,,,,,,,,,,,,,
9471,82.0,,94,PENCACAHAN SKTR 2025 TRIWULAN 2,2026-02-23 08:46:25,progress,,82.0,,,,,,,,,,,,,,
9403,21.0,6.0,94,PENCACAHAN SKTR 2025 TRIWULAN 2,2026-02-23 08:46:25,progress,,15.0,,,,,,,,,,,,,,
9408,11.0,2.0,94,PENCACAHAN SKTR 2025 TRIWULAN 2,2026-02-23 08:46:25,progress,,9.0,,,,,,,,,,,,,,
9409,11.0,3.0,94,PENCACAHAN SKTR 2025 TRIWULAN 2,2026-02-23 08:46:25,progress,,8.0,,,,,,,,,,,,,,
9420,10.0,,94,PENCACAHAN SKTR 2025 TRIWULAN 2,2026-02-23 08:46:25,progress,,8.0,,,2.0,,,,,,,,,,,
9426,10.0,,94,PENCACAHAN SKTR 2025 TRIWULAN 2,2026-02-23 08:46:25,progress,,10.0,,,,,,,,,,,,,,
9419,1.0,,94,PENCACAHAN SKTR 2025 TRIWULAN 2,2026-02-23 08:46:25,progress,,1.0,,,,,,,,,,,,,,
9601,64.0,24.0,96,PENCACAHAN SKTR 2025 TRIWULAN 2,2026-02-23 08:46:25,progress,,40.0,,,,,,,,,,,,,,
9608,7.0,,96,PENCACAHAN SKTR 2025 TRIWULAN 2,2026-02-23 08:46:25,progress,,7.0,,,,,,,,,,,,,,
9604,4.0,2.0,96,PENCACAHAN SKTR 2025 TRIWULAN 2,2026-02-23 08:46:25,progress,,1.0,,,1.0,,,,,,,,,,,
9607,3.0,,96,PENCACAHAN SKTR 2025 TRIWULAN 2,2026-02-23 08:46:25,progress,,3.0,,,,,,,,,,,,,,
9501,47.0,11.0,95,PENCACAHAN SKTR 2025 TRIWULAN 2,2026-02-23 08:46:25,progress,,36.0,,,,,,,,,,,,,,
9502,12.0,2.0,95,PENCACAHAN SKTR 2025 TRIWULAN 2,2026-02-23 08:46:25,progress,,10.0,,,,,,,,,,,,,,
9504,2.0,1.0,95,PENCACAHAN SKTR 2025 TRIWULAN 2,2026-02-23 08:46:25,progress,,1.0,,,,,,,,,,,,,,
9503,1.0,,95,PENCACAHAN SKTR 2025 TRIWULAN 2,2026-02-23 08:46:25,progress,,1.0,,,,,,,,,,,,,,
9471,44.0,,94,PENDATAAN IBS TRIWULANAN 2025,2026-02-23 08:46:25,progress,,41.0,,,3.0,,,,,,,,,,,
9403,6.0,,94,PENDATAAN IBS TRIWULANAN 2025,2026-02-23 08:46:25,progress,,6.0,,,,,,,,,,,,,,
9409,5.0,,94,PENDATAAN IBS TRIWULANAN 2025,2026-02-23 08:46:25,progress,,5.0,,,,,,,,,,,,,,
9408,3.0,,94,PENDATAAN IBS TRIWULANAN 2025,2026-02-23 08:46:25,progress,,3.0,,,,,,,,,,,,,,
9501,14.0,,95,PENDATAAN IBS TRIWULANAN 2025,2026-02-23 08:46:25,progress,,14.0,,,,,,,,,,,,,,
9503,6.0,,95,PENDATAAN IBS TRIWULANAN 2025,2026-02-23 08:46:25,progress,,6.0,,,,,,,,,,,,,,
9502,4.0,2.0,95,PENDATAAN IBS TRIWULANAN 2025,2026-02-23 08:46:25,progress,,,2.0,,,,,,,,,,,,,
9601,40.0,2.0,96,PENDATAAN IBS TRIWULANAN 2025,2026-02-23 08:46:25,progress,,38.0,,,,,,,,,,,,,,
9604,2.0,,96,PENDATAAN IBS TRIWULANAN 2025,2026-02-23 08:46:25,progress,,2.0,,,,,,,,,,,,,,
9608,1.0,,96,PENDATAAN IBS TRIWULANAN 2025,2026-02-23 08:46:25,progress,,1.0,,,,,,,,,,,,,,
9702,5.0,1.0,97,PENDATAAN IBS TRIWULANAN 2025,2026-02-23 08:46:26,progress,,,,,,,4.0,,,,,,,,,
9702,9.0,,97,SURVEI CAPTIVE POWER 2025,2026-02-23 08:46:26,progress,9.0,,,,,,,,,,,,,,,
9704,4.0,,97,SURVEI CAPTIVE POWER 2025,2026-02-23 08:46:26,progress,4.0,,,,,,,,,,,,,,,
9707,4.0,,97,SURVEI CAPTIVE POWER 2025,2026-02-23 08:46:26,progress,4.0,,,,,,,,,,,,,,,
9701,2.0,,97,SURVEI CAPTIVE POWER 2025,2026-02-23 08:46:26,progress,2.0,,,,,,,,,,,,,,,
9703,2.0,,97,SURVEI CAPTIVE POWER 2025,2026-02-23 08:46:26,progress,2.0,,,,,,,,,,,,,,,
9708,2.0,,97,SURVEI CAPTIVE POWER 2025,2026-02-23 08:46:26,progress,,,,,,,,2.0,,,,,,,,
9706,1.0,,97,SURVEI CAPTIVE POWER 2025,2026-02-23 08:46:26,progress,,,,,,,,1.0,,,,,,,,
9471,62.0,,94,SURVEI CAPTIVE POWER 2025,2026-02-23 08:46:26,progress,62.0,,,,,,,,,,,,,,,
9403,52.0,,94,SURVEI CAPTIVE POWER 2025,2026-02-23 08:46:26,progress,52.0,,,,,,,,,,,,,,,
9409,35.0,,94,SURVEI CAPTIVE POWER 2025,2026-02-23 08:46:26,progress,35.0,,,,,,,,,,,,,,,
9419,16.0,16.0,94,SURVEI CAPTIVE POWER 2025,2026-02-23 08:46:26,progress,,,,,,,,,,,,,,,,
9408,13.0,7.0,94,SURVEI CAPTIVE POWER 2025,2026-02-23 08:46:26,progress,,,,,,,,,6.0,,,,,,,
