kd_kab,total,COMPLETED BY Admin Kabupaten,prov_id,name,time_stamp,type,EDITED BY Admin Kabupaten,OPEN,APPROVED BY Pengawas,REJECTED BY Pengawas,SUBMITTED BY Pencacah,assigned,have-not-assigned
9501,14,,95,PENDATAAN IBS TRIWULANAN 2025,2026-03-19 10:26:05,user_assignment,,,,,,14.0,0.0
9503,6,,95,PENDATAAN IBS TRIWULANAN 2025,2026-03-19 10:26:05,user_assignment,,,,,,6.0,0.0
9502,4,,95,PENDATAAN IBS TRIWULANAN 2025,2026-03-19 10:26:05,user_assignment,,,,,,4.0,0.0
9601,40,,96,PENDATAAN IBS TRIWULANAN 2025,2026-03-19 10:26:05,user_assignment,,,,,,40.0,0.0
9604,2,,96,PENDATAAN IBS TRIWULANAN 2025,2026-03-19 10:26:05,user_assignment,,,,,,2.0,0.0
9608,1,,96,PENDATAAN IBS TRIWULANAN 2025,2026-03-19 10:26:05,user_assignment,,,,,,1.0,0.0
9702,5,,97,PENDATAAN IBS TRIWULANAN 2025,2026-03-19 10:26:05,user_assignment,,,,,,5.0,0.0
9471,8,,94,PEMUTAKHIRAN DIREKTORI PERUSAHAAN AWAL 2026,2026-03-19 10:26:05,user_assignment,,,,,,0.0,8.0
9403,6,,94,PEMUTAKHIRAN DIREKTORI PERUSAHAAN AWAL 2026,2026-03-19 10:26:05,user_assignment,,,,,,0.0,6.0
9409,5,,94,PEMUTAKHIRAN DIREKTORI PERUSAHAAN AWAL 2026,2026-03-19 10:26:05,user_assignment,,,,,,0.0,5.0
9408,1,,94,PEMUTAKHIRAN DIREKTORI PERUSAHAAN AWAL 2026,2026-03-19 10:26:05,user_assignment,,,,,,0.0,1.0
9501,5,,95,PEMUTAKHIRAN DIREKTORI PERUSAHAAN AWAL 2026,2026-03-19 10:26:05,user_assignment,,,,,,5.0,0.0
9502,2,,95,PEMUTAKHIRAN DIREKTORI PERUSAHAAN AWAL 2026,2026-03-19 10:26:05,user_assignment,,,,,,0.0,2.0
9503,2,,95,PEMUTAKHIRAN DIREKTORI PERUSAHAAN AWAL 2026,2026-03-19 10:26:05,user_assignment,,,,,,0.0,2.0
9601,12,,96,PEMUTAKHIRAN DIREKTORI PERUSAHAAN AWAL 2026,2026-03-19 10:26:05,user_assignment,,,,,,0.0,12.0
9604,1,,96,PEMUTAKHIRAN DIREKTORI PERUSAHAAN AWAL 2026,2026-03-19 10:26:05,user_assignment,,,,,,1.0,0.0
9702,4,,97,PEMUTAKHIRAN DIREKTORI PERUSAHAAN AWAL 2026,2026-03-19 10:26:05,user_assignment,,,,,,0.0,4.0
9420,265,,94,IMK Triwulanan 2026 - LISTING,2026-03-19 10:26:05,user_assignment,,,,,,265.0,0.0
9403,214,,94,IMK Triwulanan 2026 - LISTING,2026-03-19 10:26:05,user_assignment,,,,,,214.0,0.0
9471,42,,94,IMK Triwulanan 2026 - LISTING,2026-03-19 10:26:05,user_assignment,,,,,,42.0,0.0
9409,41,,94,IMK Triwulanan 2026 - LISTING,2026-03-19 10:26:05,user_assignment,,,,,,41.0,0.0
9427,21,,94,IMK Triwulanan 2026 - LISTING,2026-03-19 10:26:05,user_assignment,,,,,,21.0,0.0
9408,16,,94,IMK Triwulanan 2026 - LISTING,2026-03-19 10:26:05,user_assignment,,,,,,0.0,16.0
9426,9,,94,IMK Triwulanan 2026 - LISTING,2026-03-19 10:26:05,user_assignment,,,,,,9.0,0.0
9419,8,,94,IMK Triwulanan 2026 - LISTING,2026-03-19 10:26:05,user_assignment,,,,,,8.0,0.0
9428,4,,94,IMK Triwulanan 2026 - LISTING,2026-03-19 10:26:05,user_assignment,,,,,,0.0,4.0
9503,402,,95,IMK Triwulanan 2026 - LISTING,2026-03-19 10:26:05,user_assignment,,,,,,402.0,0.0
