name,id,unit,description,isActive,surveyType,panelType,areaType,updateListingType,isPublic,createdAt,regionGroupId,survey_period_id,startDate,endDate
GROUNDCHECK PELANGGAN LISTRIK PT PLN (PERSERO) - PRABAYAR,2395b67d-d1af-4739-9ef8-c0cc0aa9ce9a,BADAN PUSAT STATISTIK,GROUNDCHECK PELANGGAN LISTRIK PT PLN (PERSERO) - PRABAYAR,True,Pencacahan,False,False,True,,2026-02-22T21:56:29.7887375,d18bcaa1-17f1-40cc-9c49-19537d40c4eb,16acea4e-4710-43d1-8b00-eeee589c8b66,2026-02-22,2026-04-30
GROUNDCHECK PELANGGAN LISTRIK PT PLN (PERSERO) - PASCABAYAR,2e31188c-a617-4163-8056-edccf93d8d79,BADAN PUSAT STATISTIK,GROUNDCHECK PELANGGAN LISTRIK PT PLN (PERSERO) - PASCABAYAR,True,Pencacahan,False,False,True,,2026-02-22T21:05:14.8714461,7cc6648a-f29c-461f-a880-725a5f57aa61,d63e9832-13c6-4ec7-bf5b-59229c2f90f9,2026-02-22,2026-04-30
PEMUTAKHIRAN DTSEN PBI 2026,c718ef77-c6a8-4a76-9c48-1a905d60a0cc,BADAN PUSAT STATISTIK,PEMUTAKHIRAN DTSEN PBI 2026,True,Pencacahan,False,False,False,,2026-02-20T11:10:32.9219121,33b08625-a592-44c9-9da6-91797017a8b5,d879f02a-6754-4e66-826c-3388a9910867,2026-02-20,2026-03-16
