prov_id,name,time_stamp,type,kd_kab,total,COMPLETED BY Admin Kabupaten,APPROVED BY Pengawas,EDITED BY Admin Kabupaten,OPEN,REVOKED BY Admin Kabupaten,REJECTED BY Pengawas,APPROVED BY ADMIN KABUPATEN,APPROVED BY ADMIN PROVINSI,APPROVED BY PENGAWAS,COMPLETED BY ADMIN PROVINSI,APPROVED BY Admin Kabupaten,DRAFT,SUBMITTED RESPONDENT,SUBMITTED BY Pencacah,EDITED BY Admin Pusat,assigned,have-not-assigned
94,IMK Tahunan 2025 - Listing,2026-02-27 10:20:46,progress,9427,698.0,698.0,,,,,,,,,,,,,,,,
94,IMK Tahunan 2025 - Listing,2026-02-27 10:20:46,progress,9419,575.0,575.0,,,,,,,,,,,,,,,,
94,IMK Tahunan 2025 - Listing,2026-02-27 10:20:46,progress,9426,454.0,454.0,,,,,,,,,,,,,,,,
94,IMK Tahunan 2025 - Listing,2026-02-27 10:20:46,progress,9408,374.0,374.0,,,,,,,,,,,,,,,,
94,IMK Tahunan 2025 - Listing,2026-02-27 10:20:46,progress,9428,126.0,126.0,,,,,,,,,,,,,,,,
94,SURVEI TAHUNAN PERUSAHAAN LISTRIK TAHUN 2025,2026-02-27 10:20:45,progress,9471,1.0,,,,1.0,,,,,,,,,,,,,
97,PENCACAHAN SKTR 2025 TRIWULAN 2,2026-02-27 10:20:46,progress,9702,29.0,29.0,,,,,,,,,,,,,,,,
97,PENCACAHAN SKTR 2025 TRIWULAN 2,2026-02-27 10:20:46,progress,9704,8.0,,,,8.0,,,,,,,,,,,,,
97,PENCACAHAN SKTR 2025 TRIWULAN 2,2026-02-27 10:20:46,progress,9708,7.0,6.0,,,1.0,,,,,,,,,,,,,
97,PENCACAHAN SKTR 2025 TRIWULAN 2,2026-02-27 10:20:46,progress,9701,2.0,2.0,,,,,,,,,,,,,,,,
97,PENCACAHAN SKTR 2025 TRIWULAN 2,2026-02-27 10:20:46,progress,9705,2.0,2.0,,,,,,,,,,,,,,,,
97,PENCACAHAN SKTR 2025 TRIWULAN 2,2026-02-27 10:20:46,progress,9706,2.0,2.0,,,,,,,,,,,,,,,,
97,PENCACAHAN SKTR 2025 TRIWULAN 2,2026-02-27 10:20:46,progress,9707,1.0,1.0,,,,,,,,,,,,,,,,
94,PENCACAHAN SKTR 2025 TRIWULAN 2,2026-02-27 10:20:46,progress,9471,82.0,82.0,,,,,,,,,,,,,,,,
94,PENCACAHAN SKTR 2025 TRIWULAN 2,2026-02-27 10:20:46,progress,9403,21.0,15.0,,,6.0,,,,,,,,,,,,,
94,PENCACAHAN SKTR 2025 TRIWULAN 2,2026-02-27 10:20:46,progress,9408,11.0,9.0,,,2.0,,,,,,,,,,,,,
94,PENCACAHAN SKTR 2025 TRIWULAN 2,2026-02-27 10:20:46,progress,9409,11.0,8.0,,,3.0,,,,,,,,,,,,,
94,PENCACAHAN SKTR 2025 TRIWULAN 2,2026-02-27 10:20:46,progress,9420,10.0,8.0,2.0,,,,,,,,,,,,,,,
94,PENCACAHAN SKTR 2025 TRIWULAN 2,2026-02-27 10:20:46,progress,9426,10.0,10.0,,,,,,,,,,,,,,,,
