kd_kab,total,COMPLETED BY Admin Kabupaten,OPEN,prov_id,name,time_stamp,type,EDITED BY Admin Kabupaten,REVOKED BY Admin Kabupaten,APPROVED BY Pengawas,REJECTED BY Pengawas,SUBMITTED BY Pencacah,EDITED BY Admin Pusat,assigned,have-not-assigned
9420,2203.0,2203.0,,94,IMK Tahunan 2025 - Listing,2026-03-10 11:42:28,progress,,,,,,,,
9403,2171.0,2171.0,,94,IMK Tahunan 2025 - Listing,2026-03-10 11:42:28,progress,,,,,,,,
9409,1697.0,1697.0,,94,IMK Tahunan 2025 - Listing,2026-03-10 11:42:28,progress,,,,,,,,
9427,698.0,698.0,,94,IMK Tahunan 2025 - Listing,2026-03-10 11:42:28,progress,,,,,,,,
9419,575.0,575.0,,94,IMK Tahunan 2025 - Listing,2026-03-10 11:42:28,progress,,,,,,,,
9426,454.0,454.0,,94,IMK Tahunan 2025 - Listing,2026-03-10 11:42:28,progress,,,,,,,,
9408,374.0,374.0,,94,IMK Tahunan 2025 - Listing,2026-03-10 11:42:28,progress,,,,,,,,
9428,126.0,126.0,,94,IMK Tahunan 2025 - Listing,2026-03-10 11:42:28,progress,,,,,,,,
9471,42.0,,42.0,94,IMK Triwulanan 2026 - LISTING,2026-03-10 11:42:31,progress,,,,,,,,
9403,28.0,,28.0,94,IMK Triwulanan 2026 - LISTING,2026-03-10 11:42:31,progress,,,,,,,,
9427,21.0,,21.0,94,IMK Triwulanan 2026 - LISTING,2026-03-10 11:42:31,progress,,,,,,,,
9409,18.0,,18.0,94,IMK Triwulanan 2026 - LISTING,2026-03-10 11:42:31,progress,,,,,,,,
9408,16.0,,16.0,94,IMK Triwulanan 2026 - LISTING,2026-03-10 11:42:31,progress,,,,,,,,
9420,14.0,,14.0,94,IMK Triwulanan 2026 - LISTING,2026-03-10 11:42:31,progress,,,,,,,,
9426,9.0,,9.0,94,IMK Triwulanan 2026 - LISTING,2026-03-10 11:42:31,progress,,,,,,,,
9419,8.0,,8.0,94,IMK Triwulanan 2026 - LISTING,2026-03-10 11:42:31,progress,,,,,,,,
9428,4.0,,4.0,94,IMK Triwulanan 2026 - LISTING,2026-03-10 11:42:31,progress,,,,,,,,
9501,35.0,,35.0,95,IMK Triwulanan 2026 - LISTING,2026-03-10 11:42:28,progress,,,,,,,,
9502,28.0,,28.0,95,IMK Triwulanan 2026 - LISTING,2026-03-10 11:42:28,progress,,,,,,,,
9503,24.0,,24.0,95,IMK Triwulanan 2026 - LISTING,2026-03-10 11:42:28,progress,,,,,,,,
