prov_id,name,time_stamp,type,kd_kab,total,OPEN,COMPLETED BY Admin Kabupaten,SUBMITTED BY Pencacah,APPROVED BY Pengawas,REJECTED BY Pengawas,EDITED BY Admin Kabupaten,REVOKED BY Admin Kabupaten,EDITED BY Admin Pusat,assigned,have-not-assigned
94,SURVEI TAHUNAN PERUSAHAAN LISTRIK TAHUN 2025,2026-03-16 13:59:02,progress,9471,1.0,1.0,,,,,,,,,
97,PENCACAHAN SKTR 2025 TRIWULAN 2,2026-03-16 13:59:02,progress,9702,13.0,,13.0,,,,,,,,
97,PENCACAHAN SKTR 2025 TRIWULAN 2,2026-03-16 13:59:02,progress,9704,8.0,8.0,,,,,,,,,
97,PENCACAHAN SKTR 2025 TRIWULAN 2,2026-03-16 13:59:02,progress,9701,1.0,,1.0,,,,,,,,
97,PENCACAHAN SKTR 2025 TRIWULAN 2,2026-03-16 13:59:02,progress,9705,1.0,,1.0,,,,,,,,
97,PENCACAHAN SKTR 2025 TRIWULAN 2,2026-03-16 13:59:02,progress,9708,1.0,1.0,,,,,,,,,
94,PENCACAHAN SKTR 2025 TRIWULAN 2,2026-03-16 13:59:02,progress,9471,27.0,,27.0,,,,,,,,
94,PENCACAHAN SKTR 2025 TRIWULAN 2,2026-03-16 13:59:02,progress,9403,12.0,6.0,6.0,,,,,,,,
94,PENCACAHAN SKTR 2025 TRIWULAN 2,2026-03-16 13:59:02,progress,9426,7.0,,7.0,,,,,,,,
94,PENCACAHAN SKTR 2025 TRIWULAN 2,2026-03-16 13:59:02,progress,9409,5.0,3.0,2.0,,,,,,,,
94,PENCACAHAN SKTR 2025 TRIWULAN 2,2026-03-16 13:59:02,progress,9408,4.0,2.0,2.0,,,,,,,,
94,PENCACAHAN SKTR 2025 TRIWULAN 2,2026-03-16 13:59:02,progress,9420,2.0,,2.0,,,,,,,,
94,PENCACAHAN SKTR 2025 TRIWULAN 2,2026-03-16 13:59:02,progress,9419,1.0,,1.0,,,,,,,,
96,PENCACAHAN SKTR 2025 TRIWULAN 2,2026-03-16 13:59:02,progress,9601,48.0,24.0,24.0,,,,,,,,
96,PENCACAHAN SKTR 2025 TRIWULAN 2,2026-03-16 13:59:02,progress,9604,2.0,2.0,,,,,,,,,
95,PENCACAHAN SKTR 2025 TRIWULAN 2,2026-03-16 13:59:02,progress,9501,32.0,11.0,21.0,,,,,,,,
95,PENCACAHAN SKTR 2025 TRIWULAN 2,2026-03-16 13:59:02,progress,9502,6.0,2.0,4.0,,,,,,,,
95,PENCACAHAN SKTR 2025 TRIWULAN 2,2026-03-16 13:59:02,progress,9504,2.0,1.0,1.0,,,,,,,,
94,PEMUTAKHIRAN DIREKTORI PERUSAHAAN AWAL 2026,2026-03-16 13:59:02,progress,9471,8.0,8.0,,,,,,,,,
94,PEMUTAKHIRAN DIREKTORI PERUSAHAAN AWAL 2026,2026-03-16 13:59:02,progress,9403,6.0,6.0,,,,,,,,,
94,PEMUTAKHIRAN DIREKTORI PERUSAHAAN AWAL 2026,2026-03-16 13:59:02,progress,9409,5.0,5.0,,,,,,,,,
94,PEMUTAKHIRAN DIREKTORI PERUSAHAAN AWAL 2026,2026-03-16 13:59:02,progress,9408,1.0,1.0,,,,,,,,,
95,PEMUTAKHIRAN DIREKTORI PERUSAHAAN AWAL 2026,2026-03-16 13:59:02,progress,9501,5.0,5.0,,,,,,,,,
95,PEMUTAKHIRAN DIREKTORI PERUSAHAAN AWAL 2026,2026-03-16 13:59:02,progress,9502,2.0,2.0,,,,,,,,,
95,PEMUTAKHIRAN DIREKTORI PERUSAHAAN AWAL 2026,2026-03-16 13:59:02,progress,9503,2.0,2.0,,,,,,,,,
96,PEMUTAKHIRAN DIREKTORI PERUSAHAAN AWAL 2026,2026-03-16 13:59:02,progress,9601,12.0,12.0,,,,,,,,,
96,PEMUTAKHIRAN DIREKTORI PERUSAHAAN AWAL 2026,2026-03-16 13:59:02,progress,9604,1.0,1.0,,,,,,,,,
97,PEMUTAKHIRAN DIREKTORI PERUSAHAAN AWAL 2026,2026-03-16 13:59:02,progress,9702,4.0,4.0,,,,,,,,,
94,SURVEI TRIWULANAN PELAKU USAHA,2026-03-16 13:59:02,progress,9408,1.0,,1.0,,,,,,,,
