kd_kab,total,OPEN,prov_id,name,time_stamp,type,SUBMITTED BY Pencacah,APPROVED BY Pengawas,REJECTED BY Pengawas,COMPLETED BY Admin Kabupaten,EDITED BY Admin Kabupaten,assigned,have-not-assigned
9409,5,,94,PENDATAAN IBS TRIWULANAN 2025,2026-03-17 15:02:31,progress,,,,5.0,,,
9408,3,,94,PENDATAAN IBS TRIWULANAN 2025,2026-03-17 15:02:31,progress,,,,3.0,,,
9501,14,,95,PENDATAAN IBS TRIWULANAN 2025,2026-03-17 15:02:31,progress,,,,14.0,,,
9503,6,,95,PENDATAAN IBS TRIWULANAN 2025,2026-03-17 15:02:31,progress,,,,6.0,,,
9502,4,2.0,95,PENDATAAN IBS TRIWULANAN 2025,2026-03-17 15:02:31,progress,,,,,2.0,,
9601,40,,96,PENDATAAN IBS TRIWULANAN 2025,2026-03-17 15:02:32,progress,,,,40.0,,,
9604,2,,96,PENDATAAN IBS TRIWULANAN 2025,2026-03-17 15:02:32,progress,,,,2.0,,,
9608,1,,96,PENDATAAN IBS TRIWULANAN 2025,2026-03-17 15:02:32,progress,,,,1.0,,,
9702,5,,97,PENDATAAN IBS TRIWULANAN 2025,2026-03-17 15:02:31,progress,1.0,,,4.0,,,
9471,8,,94,PEMUTAKHIRAN DIREKTORI PERUSAHAAN AWAL 2026,2026-03-17 15:02:33,user_assignment,,,,,,0.0,8.0
9403,6,,94,PEMUTAKHIRAN DIREKTORI PERUSAHAAN AWAL 2026,2026-03-17 15:02:33,user_assignment,,,,,,0.0,6.0
9409,5,,94,PEMUTAKHIRAN DIREKTORI PERUSAHAAN AWAL 2026,2026-03-17 15:02:33,user_assignment,,,,,,0.0,5.0
9408,1,,94,PEMUTAKHIRAN DIREKTORI PERUSAHAAN AWAL 2026,2026-03-17 15:02:33,user_assignment,,,,,,0.0,1.0
9501,5,,95,PEMUTAKHIRAN DIREKTORI PERUSAHAAN AWAL 2026,2026-03-17 15:02:33,user_assignment,,,,,,5.0,0.0
9502,2,,95,PEMUTAKHIRAN DIREKTORI PERUSAHAAN AWAL 2026,2026-03-17 15:02:33,user_assignment,,,,,,0.0,2.0
9503,2,,95,PEMUTAKHIRAN DIREKTORI PERUSAHAAN AWAL 2026,2026-03-17 15:02:33,user_assignment,,,,,,0.0,2.0
