kd_kab,total,OPEN,prov_id,name,time_stamp,type,COMPLETED BY Admin Kabupaten,EDITED BY Admin Kabupaten,SUBMITTED BY Pencacah,REVOKED BY Admin Kabupaten,APPROVED BY Pengawas,REJECTED BY Pengawas,EDITED BY Admin Pusat,assigned,have-not-assigned
9419,42.0,,94,IMK Tahunan 2025 - Pencacahan,2026-03-11 08:14:40,progress,39.0,,,,3.0,,,,
9426,30.0,,94,IMK Tahunan 2025 - Pencacahan,2026-03-11 08:14:40,progress,30.0,,,,,,,,
9427,29.0,,94,IMK Tahunan 2025 - Pencacahan,2026-03-11 08:14:40,progress,29.0,,,,,,,,
9428,6.0,,94,IMK Tahunan 2025 - Pencacahan,2026-03-11 08:14:40,progress,6.0,,,,,,,,
9601,362.0,104.0,96,IMK Tahunan 2025 - Pencacahan,2026-03-11 08:14:40,progress,,91.0,,,167.0,,,,
9604,276.0,17.0,96,IMK Tahunan 2025 - Pencacahan,2026-03-11 08:14:40,progress,258.0,1.0,,,,,,,
9608,74.0,16.0,96,IMK Tahunan 2025 - Pencacahan,2026-03-11 08:14:40,progress,58.0,,,,,,,,
9603,41.0,,96,IMK Tahunan 2025 - Pencacahan,2026-03-11 08:14:40,progress,41.0,,,,,,,,
9704,27.0,,97,IMK Tahunan 2025 - Pencacahan,2026-03-11 08:14:40,progress,25.0,2.0,,,,,,,
9702,19.0,,97,IMK Tahunan 2025 - Pencacahan,2026-03-11 08:14:40,progress,19.0,,,,,,,,
9403,51.0,27.0,94,IMK Triwulanan 2026 - LISTING,2026-03-11 08:14:40,progress,,,24.0,,,,,,
9471,42.0,42.0,94,IMK Triwulanan 2026 - LISTING,2026-03-11 08:14:40,progress,,,,,,,,,
9427,21.0,21.0,94,IMK Triwulanan 2026 - LISTING,2026-03-11 08:14:40,progress,,,,,,,,,
9409,18.0,18.0,94,IMK Triwulanan 2026 - LISTING,2026-03-11 08:14:40,progress,,,,,,,,,
9408,16.0,16.0,94,IMK Triwulanan 2026 - LISTING,2026-03-11 08:14:40,progress,,,,,,,,,
9420,14.0,14.0,94,IMK Triwulanan 2026 - LISTING,2026-03-11 08:14:40,progress,,,,,,,,,
9426,9.0,9.0,94,IMK Triwulanan 2026 - LISTING,2026-03-11 08:14:40,progress,,,,,,,,,
9419,8.0,8.0,94,IMK Triwulanan 2026 - LISTING,2026-03-11 08:14:40,progress,,,,,,,,,
9428,4.0,4.0,94,IMK Triwulanan 2026 - LISTING,2026-03-11 08:14:40,progress,,,,,,,,,
9501,35.0,35.0,95,IMK Triwulanan 2026 - LISTING,2026-03-11 08:14:40,progress,,,,,,,,,
9502,28.0,28.0,95,IMK Triwulanan 2026 - LISTING,2026-03-11 08:14:40,progress,,,,,,,,,
9503,24.0,24.0,95,IMK Triwulanan 2026 - LISTING,2026-03-11 08:14:40,progress,,,,,,,,,
9504,18.0,18.0,95,IMK Triwulanan 2026 - LISTING,2026-03-11 08:14:40,progress,,,,,,,,,
9604,56.0,56.0,96,IMK Triwulanan 2026 - LISTING,2026-03-11 08:14:40,progress,,,,,,,,,
9601,44.0,44.0,96,IMK Triwulanan 2026 - LISTING,2026-03-11 08:14:40,progress,,,,,,,,,
9603,29.0,29.0,96,IMK Triwulanan 2026 - LISTING,2026-03-11 08:14:40,progress,,,,,,,,,
9605,15.0,15.0,96,IMK Triwulanan 2026 - LISTING,2026-03-11 08:14:40,progress,,,,,,,,,
9608,14.0,14.0,96,IMK Triwulanan 2026 - LISTING,2026-03-11 08:14:40,progress,,,,,,,,,
9602,4.0,4.0,96,IMK Triwulanan 2026 - LISTING,2026-03-11 08:14:40,progress,,,,,,,,,
9606,4.0,4.0,96,IMK Triwulanan 2026 - LISTING,2026-03-11 08:14:40,progress,,,,,,,,,
9707,49.0,3.0,97,IMK Triwulanan 2026 - LISTING,2026-03-11 08:14:40,progress,,,46.0,,,,,,
9702,41.0,41.0,97,IMK Triwulanan 2026 - LISTING,2026-03-11 08:14:40,progress,,,,,,,,,
9704,8.0,8.0,97,IMK Triwulanan 2026 - LISTING,2026-03-11 08:14:40,progress,,,,,,,,,
9703,6.0,6.0,97,IMK Triwulanan 2026 - LISTING,2026-03-11 08:14:40,progress,,,,,,,,,
9708,4.0,4.0,97,IMK Triwulanan 2026 - LISTING,2026-03-11 08:14:40,progress,,,,,,,,,
9706,2.0,2.0,97,IMK Triwulanan 2026 - LISTING,2026-03-11 08:14:40,progress,,,,,,,,,
9701,1.0,1.0,97,IMK Triwulanan 2026 - LISTING,2026-03-11 08:14:40,progress,,,,,,,,,
9704,941.0,,97,IMK Tahunan 2025 - Listing,2026-03-11 08:14:40,progress,941.0,,,,,,,,
9702,642.0,,97,IMK Tahunan 2025 - Listing,2026-03-11 08:14:40,progress,642.0,,,,,,,,
9501,9017.0,,95,IMK Tahunan 2025 - Listing,2026-03-11 08:14:40,progress,9017.0,,,,,,,,
9502,3747.0,,95,IMK Tahunan 2025 - Listing,2026-03-11 08:14:40,progress,3747.0,,,,,,,,
9504,380.0,,95,IMK Tahunan 2025 - Listing,2026-03-11 08:14:40,progress,380.0,,,,,,,,
9503,312.0,,95,IMK Tahunan 2025 - Listing,2026-03-11 08:14:40,progress,209.0,,,,103.0,,,,
9604,5920.0,,96,IMK Tahunan 2025 - Listing,2026-03-11 08:14:40,progress,5920.0,,,,,,,,
9601,3998.0,,96,IMK Tahunan 2025 - Listing,2026-03-11 08:14:40,progress,1944.0,,,,2054.0,,,,
9608,805.0,,96,IMK Tahunan 2025 - Listing,2026-03-11 08:14:40,progress,805.0,,,,,,,,
9603,352.0,,96,IMK Tahunan 2025 - Listing,2026-03-11 08:14:40,progress,352.0,,,,,,,,
