name,id,unit,description,isActive,surveyType,panelType,areaType,updateListingType,isPublic,createdAt,regionGroupId,survey_period_id,startDate,endDate
PEMUTAKHIRAN DIREKTORI PERUSAHAAN AWAL 2026,7840f4f8-0a9d-49f2-bd10-a7e9bf4c03b7,BADAN PUSAT STATISTIK,PEMUTAKHIRAN DIREKTORI PERUSAHAAN AWAL 2026,True,Pencacahan,False,False,True,,2026-03-10T08:02:08.9502672,2e756f10-553f-4e3b-9cb3-43f8beba1264,adfa533e-61da-4e53-919b-d7894349cd69,2026-03-09,2026-04-30
IMK Triwulanan 2026 - LISTING,8b0f896b-bce9-4631-b1eb-c5d2e25dfcdc,BADAN PUSAT STATISTIK,IMK Triwulanan 2026 - LISTING,True,Pencacahan,False,False,True,,2026-03-06T10:15:38.7646447,3a362adc-76d9-438d-874a-a04f637d8b24,09485547-baa2-4026-84da-2d1afd18a3a9,2026-03-08,2026-03-27
